
First 5 training samples (X_train and corresponding rewards):
X_train[0] = [6 2 6 7 4], reward = 25
X_train[1] = [3 7 2 5 4], reward = 21
X_train[2] = [1 7 3 5 1], reward = 17
X_train[3] = [7 4 0 5 8], reward = 24
X_train[4] = [0 2 3 6 3], reward = 14

First 5 testing samples (X_test and corresponding rewards):
X_test[0] = [4 8 3 4 8], reward = 27
X_test[1] = [7 2 0 2 3], reward = 14
X_test[2] = [1 0 6 7 6], reward = 20
X_test[3] = [5 4 3 0 6], reward = 18
X_test[4] = [4 6 0 2 8], reward = 20
Epoch 67/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 68/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 69/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 70/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 71/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 72/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 73/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 74/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 75/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 76/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 77/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 78/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 79/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 80/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 81/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 82/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 83/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 84/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 85/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 86/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 87/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 88/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 89/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 90/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 91/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 92/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 93/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 94/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 95/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 96/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 97/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 98/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 99/100 - Train Loss: 358.4200, Test Loss: 409.9000
Epoch 100/100 - Train Loss: 358.4200, Test Loss: 409.9000
